race_date,race_course,race_no,race_time,race_name,race_track,race_distance,race_going,weather_condition,entry_type,entry_weight,entry_age,race_type,value_of_race,final_position,margin,bracket,horse_number,horse_name,horse_id,horse_sex,horse_age,horse_weight,trainer,jockey,running_position,finish_time,win_fav,win_odds,sire,dam,dam_sire,dam_dam
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,1st,,5,7,Heroine's Crest,2021105089,F,3,55.0,Masaru Honda,Kota Fujioka,5>4>4>4>1st,1:56.0,3.0,5.6,Screen Hero,Stella Starlight,Deep Impact,Noble Stella
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,2nd,4,7,10,Alpinist,2021106296,F,3,54.0,Yoshiaki Sugiyama,Toshiki Akiyama,11>11>9>10>2nd,1:56.7,5.0,10.4,Henny Hughes,Alma Leimomi,Uncle Mo,Malibu Win
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,3rd,HD,6,8,Namura Lena,2021104304,F,3,55.0,Yoshihiko Kawamura,Ryuji Wada,1>1>1>1>3rd,1:56.7,1.0,2.2,Animal Kingdom,Namura Otsu,Deep Impact,Punctilio
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,4th,1 1/4,7,11,Berenice,2021100680,F,3,55.0,Hidenori Take,Takeshi Yokoyama,2>2>2>2>4th,1:56.9,2.0,4.9,Black Tide,Sadamu Fujiko,Kurofune,Meyadini
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,5th,2,2,2,Daishin Sandy,2021106246,F,3,55.0,Tomoyuki Umeda,Fuma Matsuwaka,10>9>8>8>5th,1:57.2,4.0,9.0,Copano Rickey,Cats,Storm Cat,Blissful
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,6th,1 3/4,4,5,Famous Grace,2021104688,F,3,55.0,Kiyoshi Tani,Hideaki Miyuki,12>13>12>11>6th,1:57.5,9.0,38.9,Isla Bonita,Hikaru Yume Akari,Symboli Kris S,Hikaru Egao
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,7th,2,8,13,Shinto Kizuna,2021103928,F,3,54.0,Yoshihito Kitade,Taiga Tsunoda,2>2>2>2>7th,1:57.8,10.0,79.0,Declaration of War,Shinto Asahi,Strong Return,Que Sera Sera
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,8th,HD,1,1,Luxe Brillante,2021102299,F,3,55.0,Yasushi Shono,Shota Kato,7>7>6>6>8th,1:57.8,13.0,412.5,Deep Brillante,Major Dream,Daiwa Major,Nadeaud
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,9th,3/4,5,6,Fraises Tarte,2021100742,F,3,55.0,Kodai Hasegawa,Manabu Sakai,4>4>4>4>9th,1:57.9,11.0,116.2,Hokko Tarumae,Bolide,Deep Impact,Victoria's Wildcat
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,10th,NK,6,9,Kurino Orion,2021101243,F,3,53.0,Yasuyuki Takahashi,Manami Nagashima,5>6>6>6>10th,1:58.0,7.0,18.4,Drefong,Lover's Cape,Daiwa Major,Hikaru Amore
